ID,Team,Position,Player,Age,Caps,Goals,WC Goals,League,Club
66,South Africa,Defender,Mbekezeli Mbokazi,20,10,1,0,United States Soccer Federation,Chicago Fire FC
67,South Africa,Forward,Iqraam Rayners,30,13,4,0,South African Football Association,Mamelodi Sundowns
68,South Africa,Goalkeeper,Sipho Chaine,29,3,0,0,South African Football Association,Orlando Pirates
69,South Africa,Forward,Evidence Makgopa,26,26,6,0,South African Football Association,Orlando Pirates
70,South Africa,Defender,Samukele Kabini,22,5,0,0,Norwegian Football Federation,Molde
71,South Africa,Defender,Nkosinathi Sibisi,30,19,0,0,South African Football Association,Orlando Pirates
72,South Africa,Defender,Khuliso Mudau,31,32,1,0,South African Football Association,Mamelodi Sundowns
73,South Africa,Defender,Ime Okon,22,7,1,0,German Football Association,Hannover 96
74,South Africa,Goalkeeper,Ricardo Goss,32,4,0,0,South African Football Association,Siwelele
75,South Africa,Midfielder,Jayden Adams,25,4,0,0,South African Football Association,Mamelodi Sundowns
76,South Africa,Defender,Olwethu Makhanya,22,0,0,0,United States Soccer Federation,Philadelphia Union
77,South Africa,Forward,Kamogelo Sebelebele,23,2,0,0,South African Football Association,Orlando Pirates
78,South Africa,Defender,Bradley Cross,25,0,0,0,South African Football Association,Kaizer Chiefs
79,South Korea,Goalkeeper,Kim Seung-gyu,35,87,0,0,Japan Football Association,FC Tokyo
80,South Korea,Defender,Lee Han-beom,23,8,0,0,Danish Football Association,Midtjylland
81,South Korea,Midfielder,Lee Gi-hyuk,25,3,0,0,Korea Football Association,Gangwon FC
82,South Korea,Defender,Kim Min-jae,29,79,4,0,German Football Association,Bayern Munich
83,South Korea,Defender,Kim Tae-hyeon,25,7,0,0,Japan Football Association,Kashima Antlers
84,South Korea,Midfielder,Hwang In-beom,29,73,6,0,Royal Dutch Football Association,Feyenoord
85,South Korea,Forward,Son Heung-min (captain),33,144,56,0,United States Soccer Federation,Los Angeles FC
86,South Korea,Midfielder,Paik Seung-ho,29,27,3,0,The Football Association,Birmingham City
87,South Korea,Forward,Cho Gue-sung,28,44,12,0,Danish Football Association,Midtjylland
88,South Korea,Midfielder,Lee Jae-sung,33,105,15,0,German Football Association,Mainz 05
89,South Korea,Midfielder,Hwang Hee-chan,30,79,17,0,The Football Association,Wolverhampton Wanderers
90,South Korea,Goalkeeper,Song Bum-keun,28,3,0,0,Korea Football Association,Jeonbuk Hyundai Motors
91,South Korea,Defender,Lee Tae-seok,23,15,1,0,Austrian Football Association,Austria Wien
92,South Korea,Defender,Cho Wi-je,24,1,0,0,Korea Football Association,Jeonbuk Hyundai Motors
93,South Korea,Defender,Kim Moon-hwan,30,35,0,0,Korea Football Association,Daejeon Hana Citizen
94,South Korea,Defender,Park Jin-seob,30,14,1,0,Chinese Football Association,Zhejiang
95,South Korea,Midfielder,Bae Jun-ho,22,13,2,0,The Football Association,Stoke City
96,South Korea,Forward,Oh Hyeon-gyu,25,27,6,0,Turkish Football Federation,Beşiktaş
97,South Korea,Midfielder,Lee Kang-in,25,47,11,0,French Football Federation,Paris Saint-Germain
98,South Korea,Midfielder,Yang Hyun-jun,24,9,0,0,Scottish Football Association,Celtic
99,South Korea,Goalkeeper,Jo Hyeon-woo,34,48,0,0,Korea Football Association,Ulsan HD
100,South Korea,Defender,Seol Young-woo,27,34,0,0,Football Association of Serbia,Red Star Belgrade
101,South Korea,Defender,Jens Castrop,22,7,0,0,German Football Association,Borussia Mönchengladbach
102,South Korea,Midfielder,Kim Jin-gyu,29,22,3,0,Korea Football Association,Jeonbuk Hyundai Motors
103,South Korea,Midfielder,Eom Ji-sung,24,9,2,0,Football Association of Wales,Swansea City
104,South Korea,Midfielder,Lee Dong-gyeong,28,18,4,0,Korea Football Association,Ulsan HD
105,Bosnia and Herzegovina,Goalkeeper,Nikola Vasilj,30,26,0,0,German Football Association,FC St. Pauli
106,Bosnia and Herzegovina,Defender,Nihad Mujakić,28,12,1,0,Turkish Football Federation,Gaziantep
107,Bosnia and Herzegovina,Defender,Dennis Hadžikadunić,27,32,0,0,Italian Football Federation,Sampdoria
108,Bosnia and Herzegovina,Defender,Tarik Muharemović,23,14,1,0,Italian Football Federation,Sassuolo
109,Bosnia and Herzegovina,Defender,Sead Kolašinac,32,65,0,0,Italian Football Federation,Atalanta
110,Bosnia and Herzegovina,Midfielder,Benjamin Tahirović,23,28,2,0,Danish Football Association,Brøndby
111,Bosnia and Herzegovina,Defender,Amar Dedić,23,28,1,0,Portuguese Football Federation,Benfica
112,Bosnia and Herzegovina,Midfielder,Armin Gigović,24,20,1,0,Swiss Football Association,Young Boys
113,Bosnia and Herzegovina,Forward,Samed Baždar,22,13,1,0,Polish Football Association,Jagiellonia Białystok
114,Bosnia and Herzegovina,Forward,Ermedin Demirović,28,40,4,0,German Football Association,VfB Stuttgart
115,Bosnia and Herzegovina,Forward,Edin Džeko (captain),40,148,73,0,German Football Association,Schalke 04
116,Bosnia and Herzegovina,Goalkeeper,Mladen Jurkas,18,0,0,0,Football Association of Bosnia and Herzegovina,Borac Banja Luka
117,Bosnia and Herzegovina,Midfielder,Ivan Bašić,24,17,0,0,Kazakhstan Football Federation,Astana
118,Bosnia and Herzegovina,Midfielder,Ivan Šunjić,29,11,0,0,Cyprus Football Association,Pafos
119,Bosnia and Herzegovina,Midfielder,Amar Memić,25,13,1,0,Football Association of the Czech Republic,Viktoria Plzeň
120,Bosnia and Herzegovina,Midfielder,Amir Hadžiahmetović,29,36,0,0,The Football Association,Hull City
121,Bosnia and Herzegovina,Midfielder,Dženis Burnić,28,20,0,0,German Football Association,Karlsruher SC
122,Bosnia and Herzegovina,Defender,Nikola Katić,29,17,2,0,German Football Association,Schalke 04
123,Bosnia and Herzegovina,Forward,Kerim Alajbegović,18,10,1,0,Austrian Football Association,Red Bull Salzburg
124,Bosnia and Herzegovina,Forward,Esmir Bajraktarević,21,16,1,0,Royal Dutch Football Association,PSV Eindhoven
125,Bosnia and Herzegovina,Defender,Stjepan Radeljić,28,5,0,0,Croatian Football Federation,Rijeka
126,Bosnia and Herzegovina,Goalkeeper,Martin Zlomislić,27,3,0,0,Croatian Football Federation,Rijeka
127,Bosnia and Herzegovina,Forward,Haris Tabaković,31,10,4,0,German Football Association,Borussia Mönchengladbach
128,Bosnia and Herzegovina,Defender,Nidal Čelik,19,2,0,0,French Football Federation,Lens
129,Bosnia and Herzegovina,Forward,Jovo Lukić,27,3,0,0,Romanian Football Federation,Universitatea Cluj
130,Bosnia and Herzegovina,Midfielder,Ermin Mahmić,21,2,0,0,Football Association of the Czech Republic,Slovan Liberec
131,Canada,Goalkeeper,Dayne St. Clair,29,20,0,0,United States Soccer Federation,Inter Miami CF
132,Canada,Defender,Alistair Johnston,27,58,1,0,Scottish Football Association,Celtic
133,Canada,Defender,Alfie Jones,28,2,0,0,The Football Association,Middlesbrough
134,Canada,Defender,Luc de Fougerolles,20,13,0,0,Royal Belgian Football Association,Dender
135,Canada,Defender,Joel Waterman,30,17,0,0,United States Soccer Federation,Chicago Fire FC
136,Canada,Midfielder,Mathieu Choinière,27,23,0,0,United States Soccer Federation,Los Angeles FC
137,Canada,Midfielder,Stephen Eustáquio,29,56,4,0,United States Soccer Federation,Los Angeles FC
138,Canada,Midfielder,Ismaël Koné,23,40,4,0,Italian Football Federation,Sassuolo
139,Canada,Forward,Cyle Larin,31,90,30,0,The Football Association,Southampton
140,Canada,Forward,Jonathan David,26,77,39,0,Italian Football Federation,Juventus
141,Canada,Midfielder,Liam Millar,26,41,1,0,The Football Association,Hull City
142,Canada,Forward,Tani Oluwaseyi,26,24,2,0,Royal Spanish Football Federation,Villarreal
143,Canada,Defender,Derek Cornelius,28,44,1,0,Scottish Football Association,Rangers
144,Canada,Midfielder,Jacob Shaffelburg,26,31,6,0,United States Soccer Federation,Los Angeles FC
145,Canada,Defender,Moïse Bombito,26,20,0,0,French Football Federation,Nice
146,Canada,Goalkeeper,Maxime Crépeau,32,32,0,0,United States Soccer Federation,Orlando City SC
147,Canada,Forward,Tajon Buchanan,27,60,8,0,Royal Spanish Football Federation,Villarreal
148,Canada,Goalkeeper,Owen Goodman,22,0,0,0,The Football Association,Barnsley
149,Canada,Defender,Alphonso Davies (captain),25,58,15,0,German Football Association,Bayern Munich
150,Canada,Forward,Ali Ahmed,25,24,1,0,The Football Association,Norwich City
151,Canada,Midfielder,Jonathan Osorio,33,90,10,0,Canadian Soccer Association,Toronto FC
152,Canada,Defender,Richie Laryea,31,75,1,0,Canadian Soccer Association,Toronto FC
153,Canada,Defender,Niko Sigur,22,19,2,0,Croatian Football Federation,Hajduk Split
154,Canada,Forward,Promise David,24,10,3,0,Royal Belgian Football Association,Union Saint-Gilloise
155,Canada,Midfielder,Nathan Saliba,22,15,2,0,Royal Belgian Football Association,Anderlecht
156,Qatar,Goalkeeper,Mahmud Abunada,26,5,0,0,Qatar Football Association,Al-Rayyan
157,Qatar,Defender,Pedro Miguel,35,99,3,0,Qatar Football Association,Al-Sadd
158,Qatar,Defender,Lucas Mendes,35,25,1,0,Qatar Football Association,Al-Wakrah
159,Qatar,Defender,Issa Laye,28,4,0,0,Qatar Football Association,Al-Arabi
160,Qatar,Defender,Jassem Gaber,24,32,1,0,Qatar Football Association,Al-Rayyan
161,Qatar,Midfielder,Abdulaziz Hatem,36,117,11,0,Qatar Football Association,Al-Rayyan
162,Qatar,Forward,Ahmed Alaaeldin,33,68,9,0,Qatar Football Association,Al-Rayyan
163,Qatar,Forward,Edmilson Junior,31,16,0,0,Qatar Football Association,Al-Duhail
164,Qatar,Forward,Mohammed Muntari,32,67,16,0,Qatar Football Association,Al-Gharafa
165,Qatar,Forward,Hassan Al-Haydos (captain),35,186,41,0,Qatar Football Association,Al-Sadd
