ID,Team,Position,Player,Age,Caps,Goals,WC Goals,League,Club
292,Scotland,Midfielder,John McGinn,31,86,20,0,The Football Association,Aston Villa
293,Scotland,Midfielder,Tyler Fletcher,19,2,0,0,The Football Association,Manchester United
294,Scotland,Forward,Lyndon Dykes,30,51,10,0,The Football Association,Charlton Athletic
295,Scotland,Forward,Ché Adams,29,47,13,0,Italian Football Federation,Torino
296,Scotland,Midfielder,Ryan Christie,31,68,10,0,The Football Association,Bournemouth
297,Scotland,Goalkeeper,Liam Kelly,30,3,0,0,Scottish Football Association,Rangers
298,Scotland,Defender,Jack Hendry,31,38,3,0,Saudi Arabian Football Federation,Al-Ettifaq
299,Scotland,Forward,Ross Stewart,29,3,0,0,The Football Association,Southampton
300,Scotland,Defender,John Souttar,29,24,2,0,Scottish Football Association,Rangers
301,Scotland,Defender,Dominic Hyam,30,4,0,0,Football Association of Wales,Wrexham
302,Scotland,Forward,Ben Gannon-Doak,20,14,1,0,The Football Association,Bournemouth
303,Scotland,Forward,George Hirst,27,10,1,0,The Football Association,Ipswich Town
304,Scotland,Midfielder,Lewis Ferguson,26,24,1,0,Italian Football Federation,Bologna
305,Scotland,Forward,Lawrence Shankland,30,20,7,0,Scottish Football Association,Heart of Midlothian
306,Scotland,Goalkeeper,Craig Gordon,43,84,0,0,Scottish Football Association,Heart of Midlothian
307,Scotland,Defender,Nathan Patterson,24,26,1,0,The Football Association,Everton
308,Scotland,Midfielder,Kenny McLean,34,58,3,0,The Football Association,Norwich City
309,Scotland,Defender,Anthony Ralston,27,27,1,0,Scottish Football Association,Celtic
310,Scotland,Forward,Findlay Curtis,20,3,1,0,Scottish Football Association,Kilmarnock
311,Scotland,Defender,Scott McKenna,29,50,1,0,Croatian Football Federation,Dinamo Zagreb
312,Australia,Goalkeeper,Mathew Ryan (captain),34,104,0,0,Royal Spanish Football Federation,Levante
313,Australia,Defender,Miloš Degenek,32,57,1,0,Cyprus Football Association,APOEL
314,Australia,Defender,Alessandro Circati,22,13,1,0,Italian Football Federation,Parma
315,Australia,Defender,Jacob Italiano,24,5,0,0,Austrian Football Association,Grazer AK
316,Australia,Defender,Jordan Bos,23,27,4,0,Royal Dutch Football Association,Feyenoord
317,Australia,Defender,Jason Geria,33,14,0,0,Japan Football Association,Albirex Niigata
318,Australia,Forward,Mathew Leckie,35,80,14,0,Football Australia,Melbourne City
319,Australia,Midfielder,Connor Metcalfe,26,36,1,0,German Football Association,FC St. Pauli
320,Australia,Forward,Mohamed Touré,22,10,2,0,The Football Association,Norwich City
321,Australia,Forward,Ajdin Hrustic,29,37,4,0,Royal Dutch Football Association,Heracles Almelo
322,Australia,Forward,Awer Mabil,30,38,10,0,Royal Spanish Football Federation,Castellón
323,Australia,Goalkeeper,Paul Izzo,31,4,0,0,Danish Football Association,Randers
324,Australia,Midfielder,Aiden O'Neill,27,31,0,0,United States Soccer Federation,New York City FC
325,Australia,Midfielder,Cammy Devlin,28,5,0,0,Scottish Football Association,Heart of Midlothian
326,Australia,Defender,Kai Trewin,25,6,0,0,United States Soccer Federation,New York City FC
327,Australia,Defender,Aziz Behich,35,84,3,0,Football Australia,Melbourne City
328,Australia,Forward,Nestory Irankunda,20,15,5,0,The Football Association,Watford
329,Australia,Goalkeeper,Patrick Beach,22,2,0,0,Football Australia,Melbourne City
330,Australia,Defender,Harry Souttar,27,38,11,0,The Football Association,Leicester City
331,Australia,Forward,Cristian Volpato,22,1,0,0,Italian Football Federation,Sassuolo
332,Australia,Defender,Cameron Burgess,30,27,0,0,Football Association of Wales,Swansea City
333,Australia,Midfielder,Jackson Irvine,33,82,14,0,German Football Association,FC St. Pauli
334,Australia,Forward,Nishan Velupillay,25,7,3,0,Football Australia,Melbourne Victory
335,Australia,Midfielder,Paul Okon-Engstler,21,6,0,0,Football Australia,Sydney FC
336,Australia,Defender,Lucas Herrington,18,4,0,0,United States Soccer Federation,Colorado Rapids
337,Australia,Forward,Tete Yengi,25,1,1,0,Japan Football Association,Machida Zelvia
338,Paraguay,Goalkeeper,Gatito Fernández,38,31,0,0,Paraguayan Football Association,Cerro Porteño
339,Paraguay,Defender,Gustavo Velázquez,35,13,1,0,Paraguayan Football Association,Cerro Porteño
340,Paraguay,Defender,Omar Alderete,29,36,3,0,The Football Association,Sunderland
341,Paraguay,Defender,Juan José Cáceres,26,17,0,0,Russian Football Union,Dynamo Moscow
342,Paraguay,Defender,Fabián Balbuena,34,48,2,0,Brazilian Football Confederation,Grêmio
343,Paraguay,Defender,Júnior Alonso,33,71,3,0,Brazilian Football Confederation,Atlético Mineiro
344,Paraguay,Midfielder,Ramón Sosa,26,29,1,0,Brazilian Football Confederation,Palmeiras
345,Paraguay,Midfielder,Diego Gómez,23,24,3,0,The Football Association,Brighton & Hove Albion
346,Paraguay,Forward,Antonio Sanabria,30,48,7,0,Italian Football Federation,Cremonese
347,Paraguay,Midfielder,Miguel Almirón,32,76,10,0,United States Soccer Federation,Atlanta United FC
348,Paraguay,Midfielder,Maurício,24,3,0,0,Brazilian Football Confederation,Palmeiras
349,Paraguay,Goalkeeper,Orlando Gill,26,6,0,0,Argentine Football Association,San Lorenzo
350,Paraguay,Defender,José Canale,29,2,0,0,Argentine Football Association,Lanús
351,Paraguay,Midfielder,Andrés Cubas,30,33,0,0,Canadian Soccer Association,Vancouver Whitecaps FC
352,Paraguay,Defender,Gustavo Gómez (captain),33,89,4,0,Brazilian Football Confederation,Palmeiras
353,Paraguay,Midfielder,Damián Bobadilla,24,19,1,0,Brazilian Football Confederation,São Paulo
354,Paraguay,Forward,Kaku,31,33,6,0,United Arab Emirates Football Association,Al Ain
355,Paraguay,Forward,Álex Arce,30,15,1,0,Argentine Football Association,Independiente Rivadavia
356,Paraguay,Forward,Julio Enciso,22,32,4,0,French Football Federation,Strasbourg
357,Paraguay,Midfielder,Braian Ojeda,25,17,0,0,United States Soccer Federation,Orlando City SC
358,Paraguay,Forward,Gabriel Ávalos,35,23,2,0,Argentine Football Association,Independiente
359,Paraguay,Goalkeeper,Gastón Olveira,33,1,0,0,Paraguayan Football Association,Olimpia
360,Paraguay,Midfielder,Matías Galarza,24,15,3,0,United States Soccer Federation,Atlanta United FC
361,Paraguay,Midfielder,Gustavo Caballero,24,2,1,0,The Football Association,Portsmouth
362,Paraguay,Forward,Isidro Pitta,26,5,0,0,Brazilian Football Confederation,Red Bull Bragantino
363,Paraguay,Defender,Alexandro Maidana,20,2,1,0,Argentine Football Association,Talleres
364,Turkey,Goalkeeper,Mert Günok,37,37,0,0,Turkish Football Federation,Fenerbahçe
365,Turkey,Defender,Zeki Çelik,29,61,3,0,Italian Football Federation,Roma
366,Turkey,Defender,Merih Demiral,28,62,6,0,Saudi Arabian Football Federation,Al-Ahli
367,Turkey,Defender,Çağlar Söyüncü,30,60,2,0,Turkish Football Federation,Fenerbahçe
368,Turkey,Midfielder,Salih Özcan,28,30,1,0,German Football Association,Borussia Dortmund
369,Turkey,Midfielder,Orkun Kökçü,25,50,4,0,Turkish Football Federation,Beşiktaş
370,Turkey,Forward,Kerem Aktürkoğlu,27,52,15,0,Turkish Football Federation,Fenerbahçe
371,Turkey,Forward,Arda Güler,21,29,6,0,Royal Spanish Football Federation,Real Madrid
372,Turkey,Forward,Deniz Gül,21,8,2,0,Portuguese Football Federation,Porto
373,Turkey,Midfielder,Hakan Çalhanoğlu (captain),32,105,22,0,Italian Football Federation,Inter Milan
374,Turkey,Forward,Kenan Yıldız,21,28,5,0,Italian Football Federation,Juventus
375,Turkey,Goalkeeper,Altay Bayındır,28,12,0,0,The Football Association,Manchester United
376,Turkey,Defender,Eren Elmalı,25,23,0,0,Turkish Football Federation,Galatasaray
377,Turkey,Defender,Abdülkerim Bardakcı,31,27,2,0,Turkish Football Federation,Galatasaray
378,Turkey,Defender,Ozan Kabak,26,30,2,0,German Football Association,TSG Hoffenheim
379,Turkey,Midfielder,İsmail Yüksek,27,32,1,0,Turkish Football Federation,Fenerbahçe
380,Turkey,Forward,İrfan Can Kahveci,30,47,6,0,Turkish Football Federation,Kasımpaşa
381,Turkey,Defender,Mert Müldür,27,45,3,0,Turkish Football Federation,Fenerbahçe
382,Turkey,Forward,Yunus Akgün,25,19,4,0,Turkish Football Federation,Galatasaray
383,Turkey,Defender,Ferdi Kadıoğlu,26,30,2,0,The Football Association,Brighton & Hove Albion
384,Turkey,Forward,Barış Alper Yılmaz,26,35,4,0,Turkish Football Federation,Galatasaray
385,Turkey,Midfielder,Kaan Ayhan,31,73,5,0,Turkish Football Federation,Galatasaray
386,Turkey,Goalkeeper,Uğurcan Çakır,30,39,0,0,Turkish Football Federation,Galatasaray
387,Turkey,Forward,Oğuz Aydın,25,11,0,0,Turkish Football Federation,Fenerbahçe
388,Turkey,Defender,Samet Akaydin,32,19,1,0,Turkish Football Federation,Çaykur Rizespor
389,Turkey,Forward,Can Uzun,20,6,1,0,German Football Association,Eintracht Frankfurt
390,United States,Goalkeeper,Matt Turner,31,54,0,0,United States Soccer Federation,New England Revolution
391,United States,Defender,Sergiño Dest,25,39,3,0,Royal Dutch Football Association,PSV Eindhoven
392,United States,Defender,Chris Richards,26,36,3,0,The Football Association,Crystal Palace
393,United States,Midfielder,Tyler Adams,27,54,2,0,The Football Association,Bournemouth
394,United States,Defender,Antonee Robinson,28,54,5,0,The Football Association,Fulham
395,United States,Defender,Auston Trusty,27,8,0,0,Scottish Football Association,Celtic
396,United States,Midfielder,Giovanni Reyna,23,38,9,0,German Football Association,Borussia Mönchengladbach
397,United States,Midfielder,Weston McKennie,27,66,12,0,Italian Football Federation,Juventus
398,United States,Forward,Ricardo Pepi,23,37,13,0,Royal Dutch Football Association,PSV Eindhoven
399,United States,Forward,Christian Pulisic,27,86,33,0,Italian Football Federation,Milan
400,United States,Forward,Brenden Aaronson,25,58,9,0,The Football Association,Leeds United
401,United States,Defender,Miles Robinson,29,40,3,0,United States Soccer Federation,FC Cincinnati
402,United States,Defender,Tim Ream (captain),38,82,1,0,United States Soccer Federation,Charlotte FC
403,United States,Midfielder,Sebastian Berhalter,25,13,1,0,Canadian Soccer Association,Vancouver Whitecaps FC
404,United States,Midfielder,Cristian Roldan,31,47,0,0,United States Soccer Federation,Seattle Sounders FC
405,United States,Defender,Alex Freeman,21,17,2,0,Royal Spanish Football Federation,Villarreal
406,United States,Midfielder,Malik Tillman,24,30,3,0,German Football Association,Bayer Leverkusen
407,United States,Defender,Max Arfsten,25,20,1,0,United States Soccer Federation,Columbus Crew
408,United States,Forward,Haji Wright,28,20,7,0,The Football Association,Coventry City
409,United States,Forward,Folarin Balogun,24,27,9,0,French Football Federation,Monaco
410,United States,Forward,Timothy Weah,26,51,7,0,French Football Federation,Marseille
411,United States,Defender,Mark McKenzie,27,29,0,0,French Football Federation,Toulouse
412,United States,Defender,Joe Scally,23,26,0,0,German Football Association,Borussia Mönchengladbach
413,United States,Goalkeeper,Matt Freese,27,15,0,0,United States Soccer Federation,New York City FC
414,United States,Goalkeeper,Chris Brady,22,1,0,0,United States Soccer Federation,Chicago Fire FC
415,United States,Forward,Alejandro Zendejas,28,14,2,0,Mexican Football Federation,América
416,Curacao,Goalkeeper,Eloy Room,37,71,0,0,United States Soccer Federation,Miami FC
417,Curacao,Defender,Shurandy Sambo,24,8,0,0,Royal Dutch Football Association,Sparta Rotterdam
418,Curacao,Defender,Juriën Gaari,32,60,1,0,Saudi Arabian Football Federation,Abha
419,Curacao,Defender,Roshon van Eijma,28,28,1,0,Royal Dutch Football Association,RKC Waalwijk
420,Curacao,Defender,Sherel Floranus,27,28,0,0,Royal Dutch Football Association,PEC Zwolle
421,Curacao,Midfielder,Godfried Roemeratoe,26,28,1,0,Royal Dutch Football Association,RKC Waalwijk
422,Curacao,Midfielder,Juninho Bacuna,28,49,15,0,Royal Dutch Football Association,Volendam
423,Curacao,Midfielder,Livano Comenencia,22,20,2,0,Swiss Football Association,Zürich
424,Curacao,Forward,Jürgen Locadia,32,13,1,0,United States Soccer Federation,Miami FC
425,Curacao,Midfielder,Leandro Bacuna (captain),34,72,16,0,Turkish Football Federation,Iğdır
426,Curacao,Forward,Jeremy Antonisse,24,27,4,0,Hellenic Football Federation,Kifisia
427,Curacao,Forward,Sontje Hansen,24,6,1,0,The Football Association,Middlesbrough
428,Curacao,Forward,Tyrese Noslin,23,7,1,0,Royal Dutch Football Association,Telstar
429,Curacao,Forward,Kenji Gorré,31,38,6,0,Israel Football Association,Maccabi Haifa
430,Curacao,Midfielder,Ar'jany Martha,22,9,2,0,The Football Association,Rotherham United
431,Curacao,Forward,Jearl Margaritha,26,22,5,0,Royal Belgian Football Association,Beveren
432,Curacao,Forward,Brandley Kuwas,33,35,2,0,Royal Dutch Football Association,Volendam
433,Curacao,Defender,Armando Obispo,27,6,0,0,Royal Dutch Football Association,PSV Eindhoven
434,Curacao,Forward,Gervane Kastaneer,30,29,9,0,Football Association of Malaysia,Terengganu
435,Curacao,Defender,Joshua Brenet,32,18,2,0,Turkish Football Federation,Kayserispor
436,Curacao,Midfielder,Tahith Chong,26,6,3,0,The Football Association,Sheffield United
437,Curacao,Midfielder,Kevin Felida,26,19,1,0,Royal Dutch Football Association,Den Bosch
438,Curacao,Defender,Riechedly Bazoer,29,5,0,0,Turkish Football Federation,Konyaspor
439,Curacao,Defender,Deveron Fonville,23,2,0,0,Royal Dutch Football Association,NEC
440,Curacao,Goalkeeper,Tyrick Bodak,24,4,0,0,Royal Dutch Football Association,Telstar
441,Curacao,Goalkeeper,Trevor Doornbusch,26,8,0,0,Royal Dutch Football Association,VVV-Venlo
442,Ecuador,Goalkeeper,Hernán Galíndez,39,35,0,0,Argentine Football Federation,Huracán
443,Ecuador,Defender,Félix Torres,29,49,5,0,Brazilian Football Confederation,Internacional
444,Ecuador,Defender,Piero Hincapié,24,52,3,0,The Football Association,Arsenal
445,Ecuador,Defender,Joel Ordóñez,22,17,0,0,Royal Belgian Football Association,Club Brugge
446,Ecuador,Midfielder,Jordy Alcívar,26,11,1,0,Ecuadorian Football Federation,Independiente del Valle
447,Ecuador,Defender,Willian Pacho,24,34,2,0,French Football Federation,Paris Saint-Germain
448,Ecuador,Defender,Pervis Estupiñán,28,54,5,0,Italian Football Federation,Milan
449,Ecuador,Midfielder,Anthony Valencia,22,3,1,0,Royal Belgian Football Association,Antwerp
450,Ecuador,Forward,John Yeboah,25,23,3,0,Italian Football Federation,Venezia
451,Ecuador,Midfielder,Kendry Páez,19,26,2,0,Argentine Football Federation,River Plate
452,Ecuador,Forward,Kevin Rodríguez,26,31,2,0,Royal Belgian Football Association,Union Saint-Gilloise
453,Ecuador,Goalkeeper,Moisés Ramírez,25,7,0,0,Hellenic Football Federation,Kifisia
454,Ecuador,Forward,Enner Valencia (captain),36,105,49,0,Mexican Football Federation,Pachuca
455,Ecuador,Midfielder,Alan Minda,23,20,2,0,Brazilian Football Confederation,Atlético Mineiro
456,Ecuador,Midfielder,Pedro Vite,24,17,1,0,Mexican Football Federation,UNAM
457,Ecuador,Forward,Jordy Caicedo,28,20,4,0,Argentine Football Association,Huracán
458,Ecuador,Defender,Ángelo Preciado,28,55,0,0,Brazilian Football Confederation,Atlético Mineiro
459,Ecuador,Midfielder,Denil Castillo,22,5,0,0,Danish Football Association,Midtjylland
460,Ecuador,Forward,Gonzalo Plata,25,50,8,0,Brazilian Football Confederation,Flamengo
461,Ecuador,Forward,Nilson Angulo,22,14,2,0,The Football Association,Sunderland
462,Ecuador,Midfielder,Alan Franco,27,58,1,0,Brazilian Football Confederation,Atlético Mineiro
463,Ecuador,Goalkeeper,Gonzalo Valle,30,4,0,0,Ecuadorian Football Federation,LDU Quito
464,Ecuador,Midfielder,Moisés Caicedo,24,61,3,0,The Football Association,Chelsea
465,Ecuador,Forward,Jeremy Arévalo,21,4,0,0,German Football Association,VfB Stuttgart
466,Ecuador,Defender,Jackson Porozo,25,10,1,0,Mexican Football Federation,Tijuana
467,Ecuador,Defender,Yaimar Medina,21,6,0,0,Royal Belgian Football Association,Genk
468,Germany,Goalkeeper,Manuel Neuer,40,124,0,0,German Football Association,Bayern Munich
469,Germany,Defender,Antonio Rüdiger,33,82,3,0,Royal Spanish Football Federation,Real Madrid
470,Germany,Defender,Waldemar Anton,29,13,0,0,German Football Association,Borussia Dortmund
471,Germany,Defender,Jonathan Tah,30,47,1,0,German Football Association,Bayern Munich
472,Germany,Midfielder,Aleksandar Pavlović,22,11,1,0,German Football Association,Bayern Munich
473,Germany,Defender,Joshua Kimmich (captain),31,110,10,0,German Football Association,Bayern Munich
474,Germany,Forward,Kai Havertz,27,58,22,0,The Football Association,Arsenal
475,Germany,Midfielder,Leon Goretzka,31,70,15,0,German Football Association,Bayern Munich
476,Germany,Midfielder,Jamie Leweling,25,5,1,0,German Football Association,VfB Stuttgart
477,Germany,Midfielder,Jamal Musiala,23,42,9,0,German Football Association,Bayern Munich
478,Germany,Forward,Nick Woltemade,24,11,4,0,The Football Association,Newcastle United
479,Germany,Goalkeeper,Oliver Baumann,36,13,0,0,German Football Association,TSG Hoffenheim
480,Germany,Midfielder,Pascal Groß,34,18,1,0,The Football Association,Brighton & Hove Albion
481,Germany,Forward,Maximilian Beier,23,9,0,0,German Football Association,Borussia Dortmund
482,Germany,Defender,Nico Schlotterbeck,26,27,0,0,German Football Association,Borussia Dortmund
483,Germany,Midfielder,Angelo Stiller,25,8,0,0,German Football Association,VfB Stuttgart
484,Germany,Midfielder,Florian Wirtz,23,41,11,0,The Football Association,Liverpool
485,Germany,Defender,Nathaniel Brown,22,5,0,0,German Football Association,Eintracht Frankfurt
486,Germany,Midfielder,Leroy Sané,30,76,17,0,Turkish Football Federation,Galatasaray
487,Germany,Midfielder,Nadiem Amiri,29,11,1,0,German Football Association,Mainz 05
488,Germany,Goalkeeper,Alexander Nübel,29,3,0,0,German Football Association,VfB Stuttgart
489,Germany,Defender,David Raum,28,37,1,0,German Football Association,RB Leipzig
490,Germany,Midfielder,Felix Nmecha,25,8,1,0,German Football Association,Borussia Dortmund
491,Germany,Defender,Malick Thiaw,24,5,0,0,The Football Association,Newcastle United
492,Germany,Midfielder,Assan Ouédraogo,20,1,1,0,German Football Association,RB Leipzig
493,Germany,Forward,Deniz Undav,29,9,6,0,German Football Association,VfB Stuttgart
494,Ivory Coast,Goalkeeper,Yahia Fofana,25,35,0,0,Turkish Football Federation,Çaykur Rizespor
495,Ivory Coast,Defender,Ousmane Diomande,22,15,1,0,Portuguese Football Federation,Sporting CP
496,Ivory Coast,Defender,Ghislain Konan,30,54,0,0,Portuguese Football Federation,Gil Vicente
497,Ivory Coast,Midfielder,Jean Michaël Seri,34,65,4,0,Football Association of Slovenia,Maribor
498,Ivory Coast,Defender,Wilfried Singo,25,34,1,0,Turkish Football Federation,Galatasaray
499,Ivory Coast,Midfielder,Seko Fofana,31,32,7,0,Portuguese Football Federation,Porto
500,Ivory Coast,Defender,Odilon Kossounou,25,35,0,0,Italian Football Federation,Atalanta
501,Ivory Coast,Midfielder,Franck Kessié (captain),29,103,15,0,Saudi Arabian Football Federation,Al-Ahli
502,Ivory Coast,Forward,Ange-Yoan Bonny,22,1,0,0,Italian Football Federation,Inter Milan
503,Ivory Coast,Forward,Simon Adingra,24,29,5,0,French Football Federation,Monaco
504,Ivory Coast,Forward,Yan Diomande,19,10,3,0,German Football Association,RB Leipzig
505,Ivory Coast,Forward,Elye Wahi,23,2,0,0,French Football Federation,Nice
506,Ivory Coast,Defender,Christopher Opéri,29,12,0,0,Turkish Football Federation,İstanbul Başakşehir
507,Ivory Coast,Forward,Oumar Diakité,22,29,6,0,Royal Belgian Football Association,Cercle Brugge
508,Ivory Coast,Forward,Amad Diallo,23,19,6,0,The Football Association,Manchester United
509,Ivory Coast,Goalkeeper,Mohamed Koné,24,0,0,0,Royal Belgian Football Association,Charleroi
510,Ivory Coast,Defender,Guéla Doué,23,20,3,0,French Football Federation,Strasbourg
511,Ivory Coast,Midfielder,Ibrahim Sangaré,28,58,12,0,The Football Association,Nottingham Forest
512,Ivory Coast,Forward,Nicolas Pépé,31,55,12,0,Royal Spanish Football Federation,Villarreal
513,Ivory Coast,Defender,Emmanuel Agbadou,28,20,2,0,Turkish Football Federation,Beşiktaş
514,Ivory Coast,Defender,Evan Ndicka,26,28,0,0,Italian Football Federation,Roma
515,Ivory Coast,Forward,Evann Guessand,24,21,4,0,The Football Association,Crystal Palace
516,Ivory Coast,Goalkeeper,Alban Lafont,27,4,0,0,Hellenic Football Federation,Panathinaikos
517,Ivory Coast,Forward,Bazoumana Touré,20,6,2,0,German Football Association,TSG Hoffenheim
518,Ivory Coast,Midfielder,Parfait Guiagon,25,5,0,0,Royal Belgian Football Association,Charleroi
519,Ivory Coast,Midfielder,Christ Inao Oulaï,20,9,0,0,Turkish Football Federation,Trabzonspor
520,Japan,Goalkeeper,Zion Suzuki,23,24,0,0,Italian Football Federation,Parma
521,Japan,Defender,Yukinari Sugawara,25,21,2,0,German Football Association,Werder Bremen
522,Japan,Defender,Shōgo Taniguchi,34,38,1,0,Royal Belgian Football Association,Sint-Truiden
523,Japan,Defender,Kō Itakura,29,40,2,0,Royal Dutch Football Association,Ajax
524,Japan,Defender,Yūto Nagatomo,39,145,4,0,Japan Football Association,FC Tokyo
525,Japan,Midfielder,Wataru Endo (captain),33,73,4,0,The Football Association,Liverpool
526,Japan,Midfielder,Ao Tanaka,27,38,8,0,The Football Association,Leeds United
527,Japan,Midfielder,Takefusa Kubo,25,49,7,0,Royal Spanish Football Federation,Real Sociedad
528,Japan,Forward,Keisuke Gotō,21,4,0,0,Royal Belgian Football Association,Sint-Truiden
529,Japan,Midfielder,Ritsu Dōan,27,65,11,0,German Football Association,Eintracht Frankfurt
530,Japan,Midfielder,Daizen Maeda,28,27,4,0,Scottish Football Association,Celtic
531,Japan,Goalkeeper,Keisuke Ōsako,26,11,0,0,Japan Football Association,Sanfrecce Hiroshima
532,Japan,Midfielder,Keito Nakamura,25,25,10,0,French Football Federation,Reims
533,Japan,Midfielder,Junya Itō,33,69,15,0,Royal Belgian Football Association,Genk
534,Japan,Midfielder,Daichi Kamada,29,49,12,0,The Football Association,Crystal Palace
535,Japan,Defender,Tsuyoshi Watanabe,29,11,0,0,Royal Dutch Football Association,Feyenoord
536,Japan,Midfielder,Yuito Suzuki,24,6,0,0,German Football Association,SC Freiburg
537,Japan,Forward,Ayase Ueda,27,39,16,0,Royal Dutch Football Association,Feyenoord
538,Japan,Forward,Kōki Ogawa,28,15,11,0,Royal Dutch Football Association,NEC
539,Japan,Defender,Ayumu Seko,26,14,0,0,French Football Federation,Le Havre
540,Japan,Defender,Hiroki Itō,27,24,1,0,German Football Association,Bayern Munich
541,Japan,Defender,Takehiro Tomiyasu,27,43,1,0,Royal Dutch Football Association,Ajax
542,Japan,Goalkeeper,Tomoki Hayakawa,27,4,0,0,Japan Football Association,Kashima Antlers
543,Japan,Midfielder,Kaishū Sano,25,13,0,0,German Football Association,Mainz 05
544,Japan,Defender,Junnosuke Suzuki,22,6,0,0,Danish Football Association,Copenhagen
545,Japan,Forward,Kento Shiogai,21,2,0,0,German Football Association,VfL Wolfsburg
546,Netherlands,Goalkeeper,Bart Verbruggen,23,29,0,0,The Football Association,Brighton & Hove Albion
547,Netherlands,Defender,Lutsharel Geertruida,25,21,0,0,The Football Association,Sunderland
548,Netherlands,Midfielder,Marten de Roon,35,43,1,0,Italian Football Federation,Atalanta
549,Netherlands,Defender,Virgil van Dijk (captain),34,92,12,0,The Football Association,Liverpool
550,Netherlands,Defender,Nathan Aké,31,59,5,0,The Football Association,Manchester City
551,Netherlands,Defender,Jan Paul van Hecke,26,12,0,0,The Football Association,Brighton & Hove Albion
552,Netherlands,Midfielder,Justin Kluivert,27,12,0,0,The Football Association,Bournemouth
553,Netherlands,Midfielder,Ryan Gravenberch,24,27,1,0,The Football Association,Liverpool
554,Netherlands,Forward,Wout Weghorst,33,52,14,0,Royal Dutch Football Association,Ajax
555,Netherlands,Forward,Memphis Depay,32,109,55,0,Brazilian Football Confederation,Corinthians
556,Netherlands,Forward,Cody Gakpo,27,50,21,0,The Football Association,Liverpool
557,Netherlands,Defender,Mats Wieffer,26,15,1,0,The Football Association,Brighton & Hove Albion
558,Netherlands,Goalkeeper,Robin Roefs,23,1,0,0,The Football Association,Sunderland
559,Netherlands,Midfielder,Tijjani Reijnders,27,32,7,0,The Football Association,Manchester City
560,Netherlands,Defender,Micky van de Ven,25,21,1,0,The Football Association,Tottenham Hotspur
561,Netherlands,Midfielder,Guus Til,28,7,1,0,Royal Dutch Football Association,PSV Eindhoven
562,Netherlands,Forward,Noa Lang,26,15,3,0,Turkish Football Federation,Galatasaray
563,Netherlands,Forward,Donyell Malen,27,53,13,0,Italian Football Federation,Roma
564,Netherlands,Forward,Brian Brobbey,24,12,1,0,The Football Association,Sunderland
565,Netherlands,Midfielder,Teun Koopmeiners,28,28,3,0,Italian Football Federation,Juventus
566,Netherlands,Midfielder,Frenkie de Jong,29,66,2,0,Royal Spanish Football Federation,Barcelona
567,Netherlands,Defender,Denzel Dumfries,30,72,11,0,Italian Football Federation,Inter Milan
568,Netherlands,Goalkeeper,Mark Flekken,32,12,0,0,German Football Association,Bayer Leverkusen
569,Netherlands,Forward,Crysencio Summerville,24,2,0,0,The Football Association,West Ham United
570,Netherlands,Defender,Jorrel Hato,20,8,0,0,The Football Association,Chelsea
571,Netherlands,Midfielder,Quinten Timber,24,11,1,0,French Football Federation,Marseille
572,Sweden,Goalkeeper,Jacob Widell Zetterström,27,3,0,0,The Football Association,Derby County
573,Sweden,Defender,Gustaf Lagerbielke,26,11,2,0,Portuguese Football Federation,Braga
574,Sweden,Defender,Victor Lindelöf (captain),31,76,3,0,The Football Association,Aston Villa
575,Sweden,Defender,Isak Hien,27,29,0,0,Italian Football Federation,Atalanta
576,Sweden,Defender,Gabriel Gudmundsson,27,24,0,0,The Football Association,Leeds United
577,Sweden,Defender,Herman Johansson,28,3,0,0,United States Soccer Federation,FC Dallas
578,Sweden,Midfielder,Lucas Bergvall,20,10,0,0,The Football Association,Tottenham Hotspur
579,Sweden,Defender,Daniel Svensson,24,13,0,0,German Football Association,Borussia Dortmund
580,Sweden,Forward,Alexander Isak,26,58,17,0,The Football Association,Liverpool
581,Sweden,Midfielder,Benjamin Nygren,24,11,3,0,Scottish Football Association,Celtic
582,Sweden,Forward,Anthony Elanga,24,30,6,0,The Football Association,Newcastle United
583,Sweden,Goalkeeper,Viktor Johansson,27,12,0,0,The Football Association,Stoke City
584,Sweden,Midfielder,Ken Sema,32,33,5,0,Cyprus Football Association,Pafos
585,Sweden,Defender,Hjalmar Ekdal,27,13,0,0,The Football Association,Burnley
586,Sweden,Defender,Carl Starfelt,31,18,0,0,Royal Spanish Football Federation,Celta Vigo
587,Sweden,Midfielder,Jesper Karlström,30,25,0,0,Italian Football Federation,Udinese
588,Sweden,Forward,Viktor Gyökeres,28,33,20,0,The Football Association,Arsenal
589,Sweden,Midfielder,Yasin Ayari,22,21,3,0,The Football Association,Brighton & Hove Albion
590,Sweden,Midfielder,Mattias Svanberg,27,41,2,0,German Football Association,VfL Wolfsburg
591,Sweden,Defender,Eric Smith,29,2,0,0,German Football Association,FC St. Pauli
592,Sweden,Defender,Alexander Bernhardsson,27,11,0,0,German Football Association,Holstein Kiel
593,Sweden,Midfielder,Besfort Zeneli,23,8,0,0,Royal Belgian Football Association,Union Saint-Gilloise
594,Sweden,Goalkeeper,Kristoffer Nordfeldt,36,21,0,0,Swedish Football Association,AIK
595,Sweden,Defender,Elliot Stroud,23,1,0,0,Swedish Football Association,Mjällby AIF
596,Sweden,Forward,Gustaf Nilsson,29,10,4,0,Royal Belgian Football Association,Club Brugge
